Week of:,NT Reading:,OT Connection:,OT Reading:,TRUE
"May 3, 2027",Galatians 2-3,Genesis 15,Psalm 47-52,
"May 10, 2027",Galatians 4-5,Isaiah 54,Psalm 53-58,
"May 17, 2027",Galatians 6,Proverbs 11,Psalm 59-64,
"May 24, 2027",Ephesians 1-2,Ezekiel 36,Psalm 65-70,
"May 31, 2027",Ephesians 3-4,Psalm 68,Psalm 71-76,
"June 7, 2027",Ephesians 5-6,Proverbs 31,Psalm 77-82,
"June 14, 2027",Philippians 1-2,Isaiah 42,Psalm 83-88,
"June 21, 2027",Philippians 3-4,Habakkuk 3,Psalm 89-94,
"June 28, 2027",Colossians 1-2,Genesis 1,Psalm 95-100,
"July 5, 2027",Colossians 3-4,Psalm 101,Psalm 101-106,
"July 12, 2027",1 Thess. 1-2,Zephaniah 3,Psalm 107-112,
"July 19, 2027",1 Thess. 3-4,Daniel 7,Psalm 113-118,
"July 26, 2027",1 Thessalonians 5,Joel 2,Psalm 119:1-48,
"August 2, 2027",2 Thess. 1-2,Isaiah 66,Psalm 119:49-104,
"August 9, 2027",2 Thess. 3 - 1 Tim. 1,Proverbs 6,Psalm 119:105-176,
"August 16, 2027",1 Timothy 2-3,Exodus 18,Psalm 120-125,
"August 23, 2027",1 Timothy 4-5,Proverbs 4,Psalm 126-131,
"August 30, 2027",1 Timothy 6,Ecclesiastes 5,Psalm 132-137,
"September 6, 2027",2 Timothy 1-2,Joshua 1,Psalm 138-143,
"September 13, 2027",2 Timothy 3-4,Deuteronomy 31,Psalm 144-Proverbs 3,
"September 20, 2027",Titus 1-2,Proverbs 2,Proverbs 4-9,
"September 27, 2027",Titus 3 Philemon 1,Micah 6,Proverbs 10-15,
"October 4, 2027",Hebrews 1-2,Psalm 8,Proverbs 16-21,
"October 11, 2027",Hebrews 3-4,Psalm 95,Proverbs 22-27,
"October 18, 2027",Hebrews 5-6,Leviticus 8,Proverbs 28-Ecclesiastes 2,
"October 25, 2027",Hebrews 7-8,Genesis 14,Ecclesiastes 3-8,
"November 1, 2027",Hebrews 9-10,Leviticus 16,Eccl. 9-Song of Solomon 4,
"November 8, 2027",Hebrews 11-12,Genesis 22,Song of Solomon 5-Isaiah 2,
"November 15, 2027",Hebrews 13,Psalm 34,Isaiah 3-8,
"November 22, 2027",James 1,Proverbs 1,Isaiah 9-14,
"November 29, 2027",James 2,Leviticus 19,Isaiah 15-20,
"December 6, 2027",James 3,Proverbs 15,Isaiah 21-26,
"December 13, 2027",James 4,Proverbs 16,Isaiah 27-32,
"December 20, 2027",James 5,1 Kings 17,Isaiah 33-38,
"December 27, 2027",1 Peter 1,Isaiah 40,Isaiah 39-44,
"January 3, 2028",1 Peter 2,Psalm 118,Isaiah 45-50,
"January 10, 2028",1 Peter 3,Isaiah 50,Isaiah 51-56,
"January 17, 2028",1 Peter 4,Psalm 34,Isaiah 57-62,
"January 24, 2028",1 Peter 5,Ezekiel 34,Isaiah 63-Jeremiah 2,
"January 31, 2028",2 Peter 1,Deuteronomy 4,Jeremiah 3-8,
"February 7, 2028",2 Peter 2,Jeremiah 23,Jeremiah 9-14,
"February 14, 2028",2 Peter 3,Isaiah 65,Jeremiah 15-20,
"February 21, 2028",1 John 1,Psalm 32,Jeremiah 21-26,
"February 28, 2028",1 John 2,Deuteronomy 6,Jeremiah 27-32,
"March 6, 2028",1 John 3,Genesis 4,Jeremiah 33-38,
"March 13, 2028",1 John 4,Leviticus 19,Jeremiah 39-44,
"March 20, 2028",1 John 5,Psalm 119,Jeremiah 45-Lamentations 2,
"March 27, 2028",2 John 1,Proverbs 4,Lamentations 3-Ezekiel 2,
"April 3, 2028",3 John 1,Proverbs 3,Ezekiel 3-8,
"April 10, 2028",Jude 1,Numbers 16,Ezekiel 9-14,
"April 17, 2028",Revelation 1,Daniel 7,Ezekiel 15-20,
"April 24, 2028",Revelation 2,Deuteronomy 28,Ezekiel 21-26,
"May 1, 2028",Revelation 3,Zechariah 3,Ezekiel 27-32,
"May 8, 2028",Revelation 4,Ezekiel 1,Ezekiel 33-38,
"May 15, 2028",Revelation 5,Psalm 24,Ezekiel 39-Daniel 2,
"May 22, 2028",Revelation 6,Joel 2,Daniel 3-8,
"May 29, 2028",Revelation 7,Genesis 12,Daniel 9-Hosea 2,
"June 5, 2028",Revelation 8,Exodus 19,Hosea 3-8,
"June 12, 2028",Revelation 9,Exodus 10,Hosea 9-Joel 2,
"June 19, 2028",Revelation 10,Ezekiel 2,Joel 3-Amos 5,
"June 26, 2028",Revelation 11,Zechariah 4,Amos 6-Obadiah 1,
"July 3, 2028",Revelation 12,Genesis 3,Jonah 1-Micah 2,
"July 10, 2028",Revelation 13,Daniel 7,Micah 3-Nahum 2,
"July 17, 2028",Revelation 14,Isaiah 34,Nahum 3-Habakkuk 3,
"July 24, 2028",Revelation 15,Exodus 15,Zephaniah 1-Haggai 2,
"July 31, 2028",Revelation 16,Exodus 7-10,Zechariah 1-6,
"August 7, 2028",Revelation 17,Nahum 3,Zechariah 7-12,
"August 14, 2028",Revelation 18,Isaiah 47,Zechariah 13-Malachi 1,
"August 21, 2028",Revelation 19-20,Psalm 2,Malachi 2-3,
"August 28, 2028",Revelation 21-22,Isaiah 65,Malachi 4,
